CONTRACTID,TITLE,TOTALOPTIONYEARS,CURRENTOPTIONYEAR,CITYWIDE,AGENCY,AGENCYNAME,PROCUREMENTMETHOD,CONTRACTTYPE,MARKETTYPE,AMOUNT,LASTMODIFIED,CONTRACTSTATUS,AWARDDATE,EFFECTIVEDATE,EXPIRATIONDATE,OWNER,CONTRACTINGOFFICER,SUPPLIER,AWARDDOC,COMMODITY,SOLICITATIONID,DSC_LAST_MOD_DTTM,OBJECTID
CW58761,"DCSS - It Equipment & Software - Cradle Systems, LLC",4.000000000000000,Base Period,,PO0,OFFICE OF CONTRACTING AND PROCUREMENT,DC Supply Schedule,Indefinite Delivery Indefinite Quantity,Set Aside,10000000,2018-06-07T16:36:00.000Z,Published,2018-06-04T00:00:00.000Z,2018-06-04T00:00:00.000Z,2019-06-03T00:00:00.000Z,Uranus Anderson,Priscilla Mack,Cradle Systems,CW58761-Base Period-Contract Award-signed contract.pdf,"9200000 : DATA PROCESSING, COMPUTER, AND SOFTWARE SERVICES",,2018-07-12T16:10:47.000Z,9841
CW58037,"DCSS-2006-R-918-00-Mission Oriented Business Integrated Services-Affinity Media Consulting, LLC.",4.000000000000000,Base Period,1,,,DC Supply Schedule,Indefinite Delivery Indefinite Quantity,Set Aside,950000,2018-06-06T13:47:00.000Z,Published,2018-06-04T00:00:00.000Z,2018-06-04T00:00:00.000Z,2019-06-03T00:00:00.000Z,Tamika Freeman,James Webb,Affinity Media Consulting LLC,CW58037-Base Period-Contract Award-Award Contract.pdf,"9180610 : ADMINISTRATIVE SUPPORT, CONSULTING SERVICES",,2018-07-12T16:10:47.000Z,9842
CW57818,"DCSS-2006-R-920-00-IT Equipment and Software-Precision Capital Partners, LLC",4.000000000000000,Base Period,1,,,DC Supply Schedule,Indefinite Delivery Indefinite Quantity,Set Aside,950000,2018-06-05T17:47:00.000Z,Published,2018-06-04T00:00:00.000Z,2018-06-04T00:00:00.000Z,2019-06-03T00:00:00.000Z,Tamika Freeman,James Webb,"Precision Capital Partners, LLC",CW57818-Base Period-Contract Award-Award Contract.pdf,"9201300 : Advanced Authentication System Software Services, Including Maintenance and Repair",,2018-07-12T16:10:47.000Z,9843
CW35905,DCSS-Washington Opportunity Institute,4.000000000000000,Option 3,,PO0,OFFICE OF CONTRACTING AND PROCUREMENT,DC Supply Schedule,Indefinite Delivery Indefinite Quantity,Set Aside,500000,2018-06-04T15:41:00.000Z,Published,2015-06-04T00:00:00.000Z,2018-06-04T00:00:00.000Z,2019-06-03T00:00:00.000Z,Tiffany Starks,James Webb,Washington Opportunity Institute,,9055300 : Pilot Training Services,,2018-07-12T16:10:47.000Z,9844
CW61686,DCKT 2018 - Service and Parts for Honda Vehicles,4.000000000000000,Base Period,,KT0,DEPARTMENT OF PUBLIC WORKS,Competitive Sealed Bid (IFB),Firm Fixed Price,Open,400000,2018-06-08T12:14:00.000Z,Published,2018-06-05T00:00:00.000Z,2018-06-05T00:00:00.000Z,2019-06-04T00:00:00.000Z,Evelyn Lancion,Tonia Nixon,CRISWELL HONDA,,0607442 : HONDA PARTS AND ACCESSORIES (HONDA OR EQUAL),,2018-07-12T16:10:47.000Z,9845
CW61780,FY18 - CF0 - Bureau of Strategy and Innovation - Ecosystem Mapping Workshops ,0.000000000000000,Base Period,,CF0,DEPARTMENT OF EMPLOYMENT SERVICES,Small Purchase,Firm Fixed Price,Open,13900,2018-06-10T20:56:00.000Z,Closed,2018-06-07T00:00:00.000Z,2018-06-08T00:00:00.000Z,2018-09-30T00:00:00.000Z,LaVietra Shannon,Tia Mercer,"Symphonice Strategies, Inc.",,9183822 : EDUCATIONAL TRAINING CONSULTANT SERVICES,,2018-07-12T16:10:47.000Z,9846
CW61780,FY18 - CF0 - Bureau of Strategy and Innovation - Ecosystem Mapping Workshops ,0.000000000000000,Base Period,,EM0,DEPUTY MAYOR FOR GREATER ECONOMIC OPPORTUNITY,Small Purchase,Firm Fixed Price,Open,13900,2018-06-10T20:56:00.000Z,Closed,2018-06-07T00:00:00.000Z,2018-06-08T00:00:00.000Z,2018-09-30T00:00:00.000Z,LaVietra Shannon,Tia Mercer,"Symphonice Strategies, Inc.",,9183822 : EDUCATIONAL TRAINING CONSULTANT SERVICES,,2018-07-12T16:10:47.000Z,9847
CW61780,FY18 - CF0 - Bureau of Strategy and Innovation - Ecosystem Mapping Workshops ,0.000000000000000,Base Period,,PO0,OFFICE OF CONTRACTING AND PROCUREMENT,Small Purchase,Firm Fixed Price,Open,13900,2018-06-10T20:56:00.000Z,Closed,2018-06-07T00:00:00.000Z,2018-06-08T00:00:00.000Z,2018-09-30T00:00:00.000Z,LaVietra Shannon,Tia Mercer,"Symphonice Strategies, Inc.",,9183822 : EDUCATIONAL TRAINING CONSULTANT SERVICES,,2018-07-12T16:10:47.000Z,9848
CW61740,FY18 - CF0 - Urban ED - Occupation Skilled Training (WIC - ITA),4.000000000000000,Base Period,,CF0,DEPARTMENT OF EMPLOYMENT SERVICES,Human Care Agreements,Firm Fixed Price,Open,100000,2018-06-08T19:38:00.000Z,Published,2018-06-06T00:00:00.000Z,2018-06-08T00:00:00.000Z,2019-06-07T00:00:00.000Z,Danyel Riley,Tia Mercer,URBAN ED INC,,7159020 : EDUCATIONAL/TRAINING,,2018-07-12T16:10:47.000Z,9849
CW61740,FY18 - CF0 - Urban ED - Occupation Skilled Training (WIC - ITA),4.000000000000000,Base Period,,EM0,DEPUTY MAYOR FOR GREATER ECONOMIC OPPORTUNITY,Human Care Agreements,Firm Fixed Price,Open,100000,2018-06-08T19:38:00.000Z,Published,2018-06-06T00:00:00.000Z,2018-06-08T00:00:00.000Z,2019-06-07T00:00:00.000Z,Danyel Riley,Tia Mercer,URBAN ED INC,,7159020 : EDUCATIONAL/TRAINING,,2018-07-12T16:10:47.000Z,9850
CW61740,FY18 - CF0 - Urban ED - Occupation Skilled Training (WIC - ITA),4.000000000000000,Base Period,,PO0,OFFICE OF CONTRACTING AND PROCUREMENT,Human Care Agreements,Firm Fixed Price,Open,100000,2018-06-08T19:38:00.000Z,Published,2018-06-06T00:00:00.000Z,2018-06-08T00:00:00.000Z,2019-06-07T00:00:00.000Z,Danyel Riley,Tia Mercer,URBAN ED INC,,7159020 : EDUCATIONAL/TRAINING,,2018-07-12T16:10:47.000Z,9851
CW61358,CF0-FY18 - MBYLI SUMMER INTENSIVE TRAINING - OYP,0.000000000000000,Base Period,,CF0,DEPARTMENT OF EMPLOYMENT SERVICES,Exempt From Competition,Firm Fixed Price,Open,183040,2018-06-11T04:00:00.000Z,Published,2018-05-23T00:00:00.000Z,2018-06-11T00:00:00.000Z,2018-08-06T00:00:00.000Z,Tanease Delyons,Tia Mercer,CATHOLIC UNIVERSITY OF AMERICA,,9183800 : Education and Training Consulting,,2018-07-12T16:10:47.000Z,9852
CW61842,FY18 - CF0 - Office of Information Technology - Dell Desktop and Laptop Computers ,0.000000000000000,Base Period,,CF0,DEPARTMENT OF EMPLOYMENT SERVICES,DC Supply Schedule,Firm Fixed Price,Set Aside,25450.6,2018-06-14T14:10:00.000Z,Closed,2018-06-11T00:00:00.000Z,2018-06-13T00:00:00.000Z,2019-06-12T00:00:00.000Z,LaVietra Shannon,Tia Mercer,CORPORATE SYSTEMS RESOURCES,,"2045327 : COMPUTER SYSTEM (CPU, MONITOR, AND KEYBOARD)",,2018-07-12T16:10:47.000Z,9853
CW61842,FY18 - CF0 - Office of Information Technology - Dell Desktop and Laptop Computers ,0.000000000000000,Base Period,,CF0,DEPARTMENT OF EMPLOYMENT SERVICES,DC Supply Schedule,Firm Fixed Price,Set Aside,25450.6,2018-06-14T14:10:00.000Z,Closed,2018-06-11T00:00:00.000Z,2018-06-13T00:00:00.000Z,2019-06-12T00:00:00.000Z,LaVietra Shannon,Tia Mercer,CORPORATE SYSTEMS RESOURCES,,"2045340 : MICROCOMPUTERS, DESKTOP",,2018-07-12T16:10:47.000Z,9854
CW61842,FY18 - CF0 - Office of Information Technology - Dell Desktop and Laptop Computers ,0.000000000000000,Base Period,,EM0,DEPUTY MAYOR FOR GREATER ECONOMIC OPPORTUNITY,DC Supply Schedule,Firm Fixed Price,Set Aside,25450.6,2018-06-14T14:10:00.000Z,Closed,2018-06-11T00:00:00.000Z,2018-06-13T00:00:00.000Z,2019-06-12T00:00:00.000Z,LaVietra Shannon,Tia Mercer,CORPORATE SYSTEMS RESOURCES,,"2045327 : COMPUTER SYSTEM (CPU, MONITOR, AND KEYBOARD)",,2018-07-12T16:10:47.000Z,9855
CW61842,FY18 - CF0 - Office of Information Technology - Dell Desktop and Laptop Computers ,0.000000000000000,Base Period,,EM0,DEPUTY MAYOR FOR GREATER ECONOMIC OPPORTUNITY,DC Supply Schedule,Firm Fixed Price,Set Aside,25450.6,2018-06-14T14:10:00.000Z,Closed,2018-06-11T00:00:00.000Z,2018-06-13T00:00:00.000Z,2019-06-12T00:00:00.000Z,LaVietra Shannon,Tia Mercer,CORPORATE SYSTEMS RESOURCES,,"2045340 : MICROCOMPUTERS, DESKTOP",,2018-07-12T16:10:47.000Z,9856
CW61842,FY18 - CF0 - Office of Information Technology - Dell Desktop and Laptop Computers ,0.000000000000000,Base Period,,PO0,OFFICE OF CONTRACTING AND PROCUREMENT,DC Supply Schedule,Firm Fixed Price,Set Aside,25450.6,2018-06-14T14:10:00.000Z,Closed,2018-06-11T00:00:00.000Z,2018-06-13T00:00:00.000Z,2019-06-12T00:00:00.000Z,LaVietra Shannon,Tia Mercer,CORPORATE SYSTEMS RESOURCES,,"2045327 : COMPUTER SYSTEM (CPU, MONITOR, AND KEYBOARD)",,2018-07-12T16:10:47.000Z,9857
CW61842,FY18 - CF0 - Office of Information Technology - Dell Desktop and Laptop Computers ,0.000000000000000,Base Period,,PO0,OFFICE OF CONTRACTING AND PROCUREMENT,DC Supply Schedule,Firm Fixed Price,Set Aside,25450.6,2018-06-14T14:10:00.000Z,Closed,2018-06-11T00:00:00.000Z,2018-06-13T00:00:00.000Z,2019-06-12T00:00:00.000Z,LaVietra Shannon,Tia Mercer,CORPORATE SYSTEMS RESOURCES,,"2045340 : MICROCOMPUTERS, DESKTOP",,2018-07-12T16:10:47.000Z,9858
CW61845,CF0-FY18 - Huddle Enterprise - UI Enhancements - OIT,4.000000000000000,Base Period,,CF0,DEPARTMENT OF EMPLOYMENT SERVICES,GSA (Federal Supply Schedule),Firm Fixed Price,Set Aside,17280,2018-06-15T15:56:00.000Z,Published,2018-06-13T00:00:00.000Z,2018-06-15T00:00:00.000Z,2019-06-14T00:00:00.000Z,Tanease Delyons,Tia Mercer,Federal Defense Solutions,,"9563575 : SUBSCRIPTIONS, SOFTWARE LICENSING, CLOUD BASED",,2018-07-12T16:10:47.000Z,9859
CW52325,"DCSS - General Office Supplies - Precision Capital Partners, LLC",4.000000000000000,Option 1,,PO0,OFFICE OF CONTRACTING AND PROCUREMENT,DC Supply Schedule,Indefinite Delivery Indefinite Quantity,Set Aside,950000,2018-06-15T07:57:00.000Z,Published,2017-06-15T00:00:00.000Z,2018-06-15T00:00:00.000Z,2019-06-14T00:00:00.000Z,Leslie Young,James Webb,"Precision Capital Partners, LLC",CW52325-Base Period-Contract Award-Awarded Contract - Executed.pdf,"6150320 : PAPER, ADDING MACHINE, WHITE, PREMIUM GRADE, LINT FREE, ROLLS MUST CONTAIN A MINIMUM OF 160 FT.",,2018-07-12T16:10:47.000Z,9860
CW52256,"DCSS - Industrial Supplies & Apparel - Precision Capital Partners, LLC",4.000000000000000,Option 1,1,,,DC Supply Schedule,Indefinite Delivery Indefinite Quantity,Set Aside,900000,2018-06-15T07:57:00.000Z,Published,2017-06-15T00:00:00.000Z,2018-06-15T00:00:00.000Z,2019-06-14T00:00:00.000Z,Leslie Young,James Webb,"Precision Capital Partners, LLC",CW52256-Base Period-Contract Award-Awarded Contract - Executed.pdf,"4853838 : DETERGENT, GENERAL PURPOSE, ANIONIC, FOR WASHING OF DISHES, ETC., MEETING TEXAS SPECIFICATION NO. 485-38-1",,2018-07-12T16:10:47.000Z,9861
CW30912,"Emergency & Maintenance Services for Concrete, Painting, Electrical, HVAC, Plumbing and General Carpentry",4.000000000000000,Base Period,,KT0,DEPARTMENT OF PUBLIC WORKS,Small Purchase,Labor Hour,Set Aside,100000,2014-08-22T16:49:00.000Z,Expired,2014-08-22T00:00:00.000Z,2014-08-22T00:00:00.000Z,2015-08-21T00:00:00.000Z,Janella Ingram,James Roberts,CAPITOL SVCS MGMT INC,,"9105200 : Maintenance Services, Building (Not Otherwise Classified)",,2018-07-12T16:10:47.000Z,7300
CW30892,"Emergency and Maintenance Services for Concrete, Painting, Electrical, HVAC, Plumbing and General Carpentry",4.000000000000000,Base Period,,KT0,DEPARTMENT OF PUBLIC WORKS,Small Purchase,Labor Hour,Set Aside,100000,2014-08-22T18:58:00.000Z,Expired,2014-08-22T00:00:00.000Z,2014-08-22T00:00:00.000Z,2015-08-21T00:00:00.000Z,Janella Ingram,James Roberts,Protec Contruction Inc.,,"9105200 : Maintenance Services, Building (Not Otherwise Classified)",,2018-07-12T16:10:47.000Z,7301
CW30914,"Emergency and Maintenance Services for Concrete, Painting, Electrical, HVAC, Plumbing and General Carpentry ",4.000000000000000,Base Period,,KT0,DEPARTMENT OF PUBLIC WORKS,Small Purchase,Labor Hour,Set Aside,100000,2014-08-22T16:45:00.000Z,Expired,2014-08-22T00:00:00.000Z,2014-08-22T00:00:00.000Z,2015-08-21T00:00:00.000Z,Janella Ingram,James Roberts,BMD INC.,,"9105200 : Maintenance Services, Building (Not Otherwise Classified)",,2018-07-12T16:10:47.000Z,7302
CW30851,The Greater Washington Hospitality Foundation,0.000000000000000,Base Period,,GD0,STATE SUPERINTENDENT OF EDUCATION (OSSE),Sole Source,Firm Fixed Price,Open,950000,2015-04-23T19:10:00.000Z,Expired,2014-08-20T00:00:00.000Z,2014-08-22T00:00:00.000Z,2015-08-21T00:00:00.000Z,Marie Niestrath,Marie Niestrath,HOSPITALITY HIGH SCHOOL OF DC,,9625800 : Professional Services (Not Otherwise Classified),,2018-07-12T16:10:47.000Z,7303
CW17263,DCHR Transformation and Assessement Services,1.000000000000000,Option 1,,BE0,D.C. DEPARTMENT OF HUMAN RESOURCES,Competitive Sealed Bid (IFB),Firm Fixed Price,Open,189298,2015-06-01T04:00:00.000Z,Expired,2012-08-24T00:00:00.000Z,2014-08-24T00:00:00.000Z,2015-04-15T00:00:00.000Z,Dorothy Hale,Dorothy Hale,AON CONSULTING,,9186600 : Human Resources Consulting,,2018-07-12T16:10:47.000Z,7304
CW30800,Taxicab Rider Survey,0.000000000000000,Base Period,,TC0,DEPARTMENT OF FOR-HIRE VEHICLES,Competitive Sealed Proposal (RFP),Firm Fixed Price,Open,50400,2015-03-23T18:03:00.000Z,Closed,2014-08-26T00:00:00.000Z,2014-08-26T00:00:00.000Z,2014-09-30T00:00:00.000Z,Alisha Wright,Heather Reynolds,CAPITOL INQUIRY INC.,,9625800 : Professional Services (Not Otherwise Classified),,2018-07-12T16:10:47.000Z,7305
CW31023,Forensic Large Vans,0.000000000000000,Base Period,,KT0,DEPARTMENT OF PUBLIC WORKS,Cooperative Agreements,Firm Fixed Price,Open,167548.53,2014-09-15T14:05:00.000Z,Expired,2014-08-29T00:00:00.000Z,2014-08-29T00:00:00.000Z,2015-08-28T00:00:00.000Z,Michael Spriggs,James Roberts,"CRISWELL CHEVEROLET, INC.",,"0709234 : VANS, CARGO",,2018-07-12T16:10:47.000Z,7306
CW22828,DCSS - Engineering and Logistics - Sun Development Corporation,4.000000000000000,Option 2,1,,,DC Supply Schedule,Indefinite Delivery Indefinite Quantity,Set Aside,900000,2015-03-20T15:23:00.000Z,Expired,2012-08-30T00:00:00.000Z,2014-08-30T00:00:00.000Z,2015-08-29T00:00:00.000Z,Sanaz Etminan,Sanaz Etminan,SUN DEVELOPMENT,,"9250000 : ENGINEERING SERVICES, PROFESSIONAL",,2018-07-12T16:10:47.000Z,7307
CW30280,American Medical Alert Corp - OY4,0.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Small Purchase,Firm Fixed Price,Open,2501,2014-08-31T04:00:00.000Z,Expired,2010-08-31T00:00:00.000Z,2014-08-31T00:00:00.000Z,2015-08-30T00:00:00.000Z,Monica Brown,Marsha L. Robinson,American Medical Alert Corp,,3401500 : Fire and Medical Alert Systems,,2018-07-12T16:10:47.000Z,7308
CW29927,CW15344 - Dutch Mill Catering,0.000000000000000,Base Period,,BY0,OFFICE ON AGING,Competitive Sealed Proposal (RFP),Requirements,Open,2441009.63,2017-04-21T13:35:00.000Z,Expired,2014-07-21T00:00:00.000Z,2014-09-01T00:00:00.000Z,2017-09-30T00:00:00.000Z,Hakima Muhammad,Hakima Muhammad,DUTCHMILL CATERERS,,9613800 : Food Preparation Services (Including Food Canning Services),,2018-07-12T16:10:47.000Z,7309
CW24317,OPTION YEAR FOUR - DCEB-DMPED-10-C-WRAMC-MASTERPLANNER ,0.000000000000000,Base Period,,EB0,DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT,Competitive Sealed Proposal (RFP),Indefinite Delivery Indefinite Quantity,Open,410244.32,2015-06-22T15:31:00.000Z,Expired,2013-09-01T00:00:00.000Z,2014-09-01T00:00:00.000Z,2015-08-31T00:00:00.000Z,Margaret Platek,Jacqueline McDonald,"PERKINS + WILL VIRGINIA, INC.",,9625800 : Professional Services (Not Otherwise Classified),,2018-07-12T16:10:47.000Z,7310
CW31005,Copier Equipment,0.000000000000000,Base Period,,CB0,OFFICE OF THE ATTORNEY GENERAL,Competitive Sealed Bid (IFB),Firm Fixed Price,Open,169692.29,2015-03-23T16:32:00.000Z,Closed,2014-09-02T00:00:00.000Z,2014-09-02T00:00:00.000Z,2014-09-30T00:00:00.000Z,Alisha Wright,Heather Reynolds,"MVS, Inc.",,"6004000 : Copy Machines, Coated or Treated Paper Type, Including Parts and Accessories",,2018-07-12T16:10:47.000Z,7311
CW23993,Money Follows The Person- V-CARE,0.000000000000000,Base Period,,HT0,DEPARTMENT OF HEALTH CARE FINANCE,Competitive Sealed Proposal (RFP),Firm Fixed Price,Set Aside,152246,2015-03-24T20:09:00.000Z,Expired,2013-08-29T00:00:00.000Z,2014-09-03T00:00:00.000Z,2015-09-30T00:00:00.000Z,Janelle Taylor,Franklin Austin,"VCare, LLC",,9186300 : Housing Consulting,,2018-07-12T16:10:47.000Z,7312
CW31939,St. Elizabeths East Campus Site Feasibility Study for United Medical Center (UMC) ,0.000000000000000,Base Period,,EB0,DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT,Competitive Sealed Proposal (RFP),Firm Fixed Price,Open,99018.38,2014-10-03T13:35:00.000Z,Expired,2014-09-03T00:00:00.000Z,2014-09-03T00:00:00.000Z,2015-09-02T00:00:00.000Z,Lindel Reid,Jacqueline McDonald,"CH2M HILL, D.C., P.C.",,9625800 : Professional Services (Not Otherwise Classified),,2018-07-12T16:10:47.000Z,7313
CW30415,"MHM Financial Services, Inc. - OY3",1.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Small Purchase,Firm Fixed Price,Open,2501,2014-09-06T04:00:00.000Z,Expired,2011-09-06T00:00:00.000Z,2014-09-06T00:00:00.000Z,2015-09-05T00:00:00.000Z,Monica Brown,Marsha L. Robinson,MHM FINANCIAL SERVICES INC.,,9611000 : Business Plan Development Services,,2018-07-12T16:10:47.000Z,7314
CW30417,Wander Group - OY3,1.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Small Purchase,Firm Fixed Price,Open,2501,2014-09-06T04:00:00.000Z,Expired,2011-09-06T00:00:00.000Z,2014-09-06T00:00:00.000Z,2015-09-05T00:00:00.000Z,Monica Brown,Marsha L. Robinson,WANDER GROUP LLC,,9611000 : Business Plan Development Services,,2018-07-12T16:10:47.000Z,7315
CW31153,Truck with Crane,0.000000000000000,Base Period,,KA0,DEPARTMENT OF TRANSPORTATION,Competitive Sealed Bid (IFB),Firm Fixed Price,Open,216949,2015-01-15T15:08:00.000Z,Expired,2014-09-08T00:00:00.000Z,2014-09-08T00:00:00.000Z,2015-02-13T00:00:00.000Z,Gena Johnson,Gena Johnson,"Johnson Truck Center, LLC",,"0705359 : TRUCK, 4X2, W/SPECIAL BODY AND EQUIPMENT",,2018-07-12T16:10:47.000Z,7316
CW31223,Staff Assistant-DCTC,1.000000000000000,Base Period,,TC0,DEPARTMENT OF FOR-HIRE VEHICLES,DC Supply Schedule,Firm Fixed Price,Set Aside,100000,2014-12-29T13:39:00.000Z,Closed,2014-09-09T00:00:00.000Z,2014-09-09T00:00:00.000Z,2015-09-08T00:00:00.000Z,Alisha Wright,Heather Reynolds,MIDTOWN PERSONNEL INC,,9613023 : EMPLOYMENT AGENCY SERVICES FOR THE HIRING OF TEMPORARY PERSONNEL,,2018-07-12T16:10:47.000Z,7317
CW26966,POTO-2006-C-0077 MMIS,0.000000000000000,Base Period,,HT0,DEPARTMENT OF HEALTH CARE FINANCE,Competitive Sealed Proposal (RFP),Firm Fixed Price,Open,127498603,2018-05-10T12:58:00.000Z,Published,2007-09-10T00:00:00.000Z,2014-09-10T00:00:00.000Z,2018-09-30T00:00:00.000Z,Grace Bolanle Alao,Helena Barbour,"Xerox State Healthcare, LLC",,9183200 : Consulting Services (Not Otherwise Classified),,2018-07-12T16:10:47.000Z,7318
CW31272,Weather Forecast Services,4.000000000000000,Base Period,,KT0,DEPARTMENT OF PUBLIC WORKS,Small Purchase,Labor Hour,Open,10000,2014-09-10T20:13:00.000Z,Expired,2014-09-10T00:00:00.000Z,2014-09-10T00:00:00.000Z,2015-09-09T00:00:00.000Z,Rosadene Gill,James Roberts,ACCU WEATHER INC,,9618800 : Weather Forecasting Services,,2018-07-12T16:10:47.000Z,7319
CW32552,Public Consuling Group - UPL,4.000000000000000,Base Period,,HT0,DEPARTMENT OF HEALTH CARE FINANCE,Competitive Sealed Proposal (RFP),Firm Fixed Price,Open,185760,2015-08-04T12:59:00.000Z,Expired,2014-09-11T00:00:00.000Z,2014-09-11T00:00:00.000Z,2015-09-10T00:00:00.000Z,Grace Bolanle Alao,Kenneth Evans,"Public Consulting Group, Inc.",,9183200 : Consulting Services (Not Otherwise Classified),,2018-07-12T16:10:47.000Z,7320
CW31340,"Maintenance, Repair and Testing of Underground Storage Tanks and Above Ground Storage Tanks",4.000000000000000,Base Period,,KT0,DEPARTMENT OF PUBLIC WORKS,Small Purchase,Firm Fixed Price,Open,77338,2014-09-17T14:09:00.000Z,Expired,2014-09-12T00:00:00.000Z,2014-09-12T00:00:00.000Z,2015-09-11T00:00:00.000Z,Rosadene Gill,James Roberts,"Apex Companies, LLC",,9297454 : MAINTENANCE AND REPAIR OF ABOVE GROUND STORAGE TANKS AND/OR ITS ACCESSORIES AND COMPONENTS,,2018-07-12T16:10:47.000Z,7321
CW30805,"Promesa Consulting Group, Inc.",4.000000000000000,Base Period,,PO0,OFFICE OF CONTRACTING AND PROCUREMENT,DC Supply Schedule,Indefinite Delivery Indefinite Quantity,Set Aside,950000,2017-09-18T19:26:00.000Z,Expired,2014-09-12T00:00:00.000Z,2014-09-12T00:00:00.000Z,2015-09-11T00:00:00.000Z,Barbara Brown,Juva Hepburn,Promesa Consulting Group,,9180400 : Accounting/Auditing/Budget Consulting,,2018-07-12T16:10:47.000Z,7322
CW30410,Hanger Prosthetics and Orthotics - OY2,2.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Small Purchase,Firm Fixed Price,Open,2501,2014-09-13T04:00:00.000Z,Expired,2012-09-13T00:00:00.000Z,2014-09-13T00:00:00.000Z,2015-09-12T00:00:00.000Z,Monica Brown,Marsha L. Robinson,HANGER PROSTHETICS AND ORTHOTI,,9487500 : Prosthetic Manufacturing Services (Other Than Dental),,2018-07-12T16:10:47.000Z,7323
CW31149,"DCSS -Marketing, Media and Public Information - The Aquiline Group",4.000000000000000,Base Period,1,,,DC Supply Schedule,Indefinite Delivery Indefinite Quantity,Set Aside,900000,2014-10-03T22:35:00.000Z,Expired,2014-09-16T00:00:00.000Z,2014-09-16T00:00:00.000Z,2015-09-15T00:00:00.000Z,Gomeje Legesse,Sanaz Etminan,THE AQUILINE GROUP,,"9615300 : Marketing Services (Incl. Distribution, Research, Sales Promotions, etc.)",,2018-07-12T16:10:47.000Z,7324
CW31327,License 2000 and MyLicense Maintenance,4.000000000000000,Base Period,,HC0,DEPARTMENT OF HEALTH,Exempt From Competition,Firm Fixed Price,Open,63339,2014-11-17T20:24:00.000Z,Expired,2014-09-18T00:00:00.000Z,2014-09-18T00:00:00.000Z,2015-01-15T00:00:00.000Z,Stephanie Senior,Allison Robertson,SYSTEM AUTOMATION CORPORATION,,"9857400 : Software, Computer, Rental or Lease",,2018-07-12T16:10:47.000Z,7325
CW30967,Eagle Solutions,4.000000000000000,Base Period,,PO0,OFFICE OF CONTRACTING AND PROCUREMENT,DC Supply Schedule,Indefinite Delivery Indefinite Quantity,Set Aside,950000,2016-01-06T16:11:00.000Z,Expired,2014-09-22T00:00:00.000Z,2014-09-22T00:00:00.000Z,2015-09-21T00:00:00.000Z,Sanaz Etminan,Sanaz Etminan,Eagle Solutions,,"9105200 : Maintenance Services, Building (Not Otherwise Classified)",,2018-07-12T16:10:47.000Z,7326
CW31239,FY14-DHS ESA RECORDS MANAGEMENT,2.000000000000000,Base Period,,JA0,DEPARTMENT OF HUMAN SERVICES,Competitive Sealed Proposal (RFP),Firm Fixed Price,Open,1140348,2015-07-30T13:01:00.000Z,Expired,2014-09-22T00:00:00.000Z,2014-09-22T00:00:00.000Z,2015-09-21T00:00:00.000Z,Bernard Grayson,Wendell Atkinson,SOURCECORP BPS Inc.,,9588200 : Records Management Services,,2018-07-12T16:10:47.000Z,7327
CW31598,PIV I PACS with Maintenance - OCTO - FY14 - IT,4.000000000000000,Base Period,,TO0,OFFICE OF CHIEF TECHNOLOGY OFFICER,GSA (Federal Supply Schedule),Firm Fixed Price,Open,205438,2015-03-31T04:00:00.000Z,Expired,2014-09-19T00:00:00.000Z,2014-09-22T00:00:00.000Z,2015-09-21T00:00:00.000Z,Samira Davis,Chi Hui Yi,"Orion Systems Group, LLC",,"2062510 : COMPUTER SYSTEMS, DIGITAL, DEC OR EQUAL",,2018-07-12T16:10:47.000Z,7328
CW30150,Mid-Atlantic School of Food Safety - OY1,3.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Small Purchase,Firm Fixed Price,Open,7500,2014-09-23T04:00:00.000Z,Expired,2013-09-23T00:00:00.000Z,2014-09-23T00:00:00.000Z,2015-09-22T00:00:00.000Z,Monica Brown,Marsha L. Robinson,MID ATLANTIC SCHOOL OF FOOD,,"9613600 : Food Administrative Services (Incl. Policy, Standards, Evaluation, etc.)",,2018-07-12T16:10:47.000Z,7329
CW23547,Patient Tracking System - Phase IV,4.000000000000000,Option 1,,HT0,DEPARTMENT OF HEALTH CARE FINANCE,Exempt From Competition,Firm Fixed Price,Open,156600,2016-04-18T12:56:00.000Z,Expired,2013-09-23T00:00:00.000Z,2014-09-23T00:00:00.000Z,2015-05-31T00:00:00.000Z,Michael Etekochay,Hakima Muhammad,"GLOBAL EMERGENCY RESOURCES,LLC",,9182930 : CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,,2018-07-12T16:10:47.000Z,7330
